id,title,body,created_at,tag
79762991,Sign commits made by GitHub Actions workflow?,"I have a GitHub Actions workflow that automatically creates PRs for an access review. The commits are made by: git config user.name ""access-bot""
git config user.email ""access-bot@example.com"" which is set in one of the steps. But my org forces all commits to be signed and I don't know how to sign it with GPG in this case. So far I cannot see that this is possible, but that I should rather use a GitHub App since then commits made by apps don't have to be explicitly signed. If it's possible to sign the commit in a similar way to when a normal user does it, I would rather do that. Is it possible?",2025-09-12,github-actions
79762803,Github Actions - Octopus Deploy - Variable passing troubles,"Im having troubles to read the variables of the following Github Action step in Octopus Deploy, the Variables don't show up in my script - step. I see the variables correctly set in the logs of the Github Action Deploy Step. But then using the Octopus syntax #{MyVar} doesn't substitute the var in my shell script step. Deploy is deploying my release as expected. Im using OIDC for auth. I have not found a good example online that shows this exact step. Thanks - name: Deploy Release
        id: deploy_release
        uses: OctopusDeploy/deploy-release-action@v3
        with:
          server: ${{ vars.MY_SERVER_URL }}
          space: 'Default'
          project: ""my-deploy-pipeline""
          release_number: ""v${{ github.run_number }}""
          environments: ""Development""
          variables: |
            MyVar: A
            BuildNumber: ${{ github.run_number }}
            GitCommit: ${{ github.sha }}
            Branch: ${{ github.ref_name }}",2025-09-12,github-actions
79761797,msstore publish: We could not find a project publisher for the project at {DIR},"I'm trying to configure an application (Kivy framework, Python language, https://github.com/lyskouski/app-language ) distribution via msstore reconfigure --tenantId *** --clientId *** --clientSecret *** --sellerId ***
msstore publish -v -i . And it's failing with an error: info: Microsoft.Hosting.Lifetime[0] Application started. Press Ctrl+C 
to shut down.
info: Microsoft.Hosting.Lifetime[0] Hosting environment: CLI
info: Microsoft.Hosting.Lifetime[0] Content root path: 
D:\a\app-language\app-language\windows\dist
info: MSStore.CLI.Services.EnvironmentInformationService[0] Running on 
CI. CI=true
info: MSStore.CLI.Program[0] Command is publish
We could not find a project publisher for the project at 
'D:\a\app-language\app-language\windows\dist'. pipelines are the next: https://github.com/lyskouski/app-language/blob/main/.github/workflows/build.yml Could you guide me what I'm doing wrong? Thanks in advance",2025-09-11,github-actions
79759363,How to pass Git metadata and environment variables securely from Bash to Python when building Docker images in GitHub Actions?,"I'm setting up a CI/CD pipeline in GitHub Actions where I need to: Clone the repository from Git. Run a Python script that: Reads Git metadata (commit SHA, tags, semantic version). Builds a Docker image with this metadata as labels or tags. Push the image to Docker Hub (or any cloud registry). My workflow so far (simplified): name: Build and Push Docker

on:
  push:
    branches: [ ""main"" ]

jobs:
  build:
    runs-on: ubuntu-latest
    steps:
      - name: Checkout code
        uses: actions/checkout@v3

      - name: Run build script
        run: |
          bash scripts/build.sh scripts/build.sh : #!/bin/bash
set -e

# Example: Extract Git commit hash and tag
COMMIT_HASH=$(git rev-parse --short HEAD)
TAG=$(git describe --tags --always)

# Pass to Python script
python3 scripts/docker_builder.py ""$COMMIT_HASH"" ""$TAG"" scripts/docker_builder.py : import subprocess, sys

commit_hash = sys.argv[1]
tag = sys.argv[2]

image_name = f""myapp:{tag}-{commit_hash}""

try:
    subprocess.run([""docker"", ""build"", ""-t"", image_name, "".""], check=True)
    subprocess.run([""docker"", ""push"", image_name], check=True)
except subprocess.CalledProcessError as e:
    print(f""Error during Docker operation: {e}"")
    sys.exit(1) My questions: What's the best practice to securely inject and reuse environment variables across Bash and Python in a CI/CD pipeline (like GitHub Actions)? Is there a cleaner way in Python to run docker build / docker push and capture errors, instead of chaining subprocess.run? Are there recommended libraries or patterns for extracting Git metadata (tags, commits, semver) to improve image tagging logic? I’m especially interested in best practices for: Handling secrets (e.g., registry passwords). Avoiding brittle subprocess calls in Python. Making this pipeline portable across different cloud CI/CD platforms (AWS CodeBuild, GCP Cloud Build, Azure Pipelines).",2025-09-08,github-actions
79759162,How do I fetch a private repository in a public repo&#39;s GitHub workflow?,"I want to sync a public repo to a private every time there is a push on main with GitHub workflow. Currently my script is: name: Sync

on:
  push:
    branches:
      - main

jobs:
  sync:
    runs-on: ubuntu-latest
    
    steps:
      - name: Checkout repository
        uses: actions/checkout@v2
      
        
      - name: Configure git
        run: |
          git config --global user.name 'github-actions[bot]'
          git config --global user.email 'github-actions[bot]@email.com'
          git remote add private https://x-access-token:${{ secrets.PAT_TEST }}@github.com/Me/Private.git
          

      - name: Merge and sync repository
        run: |
          git fetch private -v
          #git merge private/main -X ours -m ""Sync from public repository""
          #git push private main When I run the commands individually on my WSL it works perfectly, but on GitHub it returns Run git fetch private -v
  git fetch private -v
  #git merge private/main -X ours -m ""Sync from public repository""
  #git push private main
  shell: /usr/bin/bash -e {0}
remote: Repository not found.
fatal: repository 'https://github.com/Me/Private.git/' not found
Error: Process completed with exit code 128.",2025-09-08,github-actions
79757158,How to share a volume with a parameterised path in container on GitHub Actions,"On GitHub Actions, I have a job that create a container with Debian 13, that need to use FUSE. This is the current workflow: jobs:
  build:
    name: Linux Debian13 build
    runs-on: ubuntu-latest
    container:
      image: debian:trixie
      options: --privileged --device /dev/fuse -v /usr/lib/modules/6.11.0-1018-azure:/lib/modules/6.11.0-1018-azure:shared
      - name: Install dependencies
        run: |
          apt -y install kmod fuse
          modprobe fuse The problem is the fixed path of the share with modules /usr/lib/modules/6.11.0-1018-azure , that is valid until GitHub will upgrade the host image kernel. I want to use something like /usr/lib/modules/$(uname -r) How to share a volume with a parameterised path in container on GitHub Actions?",2025-09-05,github-actions
79755557,Artifactory upload creates duplicate nested paths,"I'm uploading a signed .exe to Artifactory from GitHub Actions, but the target path keeps getting duplicated (nested inside itself). Expected upload to: <repo>/artifactory/project/signed-exe/ Actual: .../project/signed-exe/artifactory/project/signed-exe/ Why does this upload create duplicate nested paths in Artifactory?
How can I configure the JFrog CLI command or destination path to prevent this?",2025-09-04,github-actions
79755549,Maven Central Deployment in complex Maven Multi Module Project,"I’m trying to publish a multi-module Maven project to Sonatype Central using the Central Publishing Maven Plugin org.sonatype.central:central-publishing-maven-plugin:0.8.0 . In my small test repo the upload is triggered and works, but in my real project the plugin only stages files. The expected lines: Going to create .../central-bundle.zip
Going to upload .../central-bundle.zip never appear. From the failing run (example for the last module python-parent): --- central-publishing:0.8.0:publish (injected-central-publishing) @ python-parent ---
[DEBUG] (f) autoPublish = true
[DEBUG] (f) skipPublishing = false
[DEBUG] (f) ignorePublishedComponents = false
[DEBUG] (f) excludeArtifacts = []
[INFO] Using Central baseUrl: https://central.sonatype.com
[INFO] Using credentials from server id central in settings.xml
[INFO] Staging 6 files
...
[INFO] Pre Bundling - deleted .../central-staging/.../python-parent/maven-metadata-central-staging.xml
[INFO] Generate checksums for dir: me/chrissw-r1/python-parent/3.0.5 Immediately after that, the build ends with Reactor Summary / BUILD SUCCESS — there is no: Going to create .../central-bundle.zip
Going to upload .../central-bundle.zip Earlier in the same run, the plugin also stages files for the root project ( general-parent ), so it does run at the aggregator as well — but still never proceeds to bundle/upload at the end. I expect after all modules have staged their artifacts into target/**/central-staging , the plugin should (once) create central-bundle.zip and upload it to Central (I set autoPublish=true as well). Instead only staging occurs in multiple modules; the final bundle + upload step is never triggered in the general-parent build. What am I doing wrong here? You can find my project on https://github.com/ChrissW-R1/general-parent/",2025-09-04,github-actions
79755133,".NET 8 MAUI Android publish CD failing, build number replacing android sdk","I am using the following .yml with GitHub Actions to deploy my .Net 8 MAUI application to the Google Play Store. I deployed a new version as recently as last Friday with no issues. However now when I attempt to deploy somehow the version number ${{ env.GITHUB_RUN_NUMBER_WITH_OFFSET }} (simply adding 500010 to the github build number due to previous versioning prior to implementing github ci/cd) is taking the place of my target android sdk in the aab causing Google play store to reject it with this error: Error: Target SDK of artifact is too low: <current version number>. I haven't changed the yml since my last successful deployment. I'm using managedcode/MAUIAppVersion@v1 to version my code: jobs:
  publish-android:
    runs-on: windows-latest

    steps:
      - name: Checkout Repository
        uses: actions/checkout@v4

      - name: Setup .NET ${{ inputs.dotnet-version }}
        uses: actions/setup-dotnet@v4
        with:
          dotnet-version: ${{ inputs.dotnet-version }}

      - name: Install MAUI Workloads
        run: dotnet workload install android maui

      - name: Restore NuGet Packages
        run: dotnet restore ${{ inputs.sln-file }} --configfile ${{ inputs.nuget-config }}
        env:
          TELERIK_NUGET_KEY: ${{ secrets.telerik-nuget-api-key }}

      - name: Decode Keystore
        id: decode_keystore
        uses: timheuer/base64-to-file@v1
        with:
          fileDir: '${{ github.workspace }}\${{ inputs.project-folder }}'
          fileName: 'tw-upload-android.keystore'
          encodedString: ${{ secrets.keystore-base64 }}

      - name: Generate run number with offset (CMD)
        shell: cmd
        env:
          NUM: ${{ github.run_number }}
        run: |
          set /a OFFSET=%NUM%+5000010
          echo GITHUB_RUN_NUMBER_WITH_OFFSET=%OFFSET%>> %GITHUB_ENV%

      - name: Version the app
        uses: managedcode/MAUIAppVersion@v1
        with:
          csproj: ${{ inputs.project-file }}
          version: ${{ env.GITHUB_RUN_NUMBER_WITH_OFFSET }}
          displayVersion: ${{ inputs.build-version }}.${{ github.run_number }}
          printFile: true

      - name: Publish .NET MAUI Android APK
        env:
          TELERIK_LICENSE: ${{ secrets.telerik-license }}
        run: |
          dotnet publish ${{ inputs.project-file }} -c ${{ inputs.build-config }} `
          -f ${{ inputs.dotnet-version-target}}-android `
          -p:AndroidPackageFormat=aab `
          -p:AndroidKeyStore=true `
          -p:AndroidSigningKeyStore=""${{ github.workspace }}/${{ inputs.project-folder }}/tw-upload-android.keystore"" `
          -p:AndroidSigningKeyAlias=${{ secrets.keystore-alias }} `
          -p:AndroidSigningKeyPass=${{ secrets.keystore-password }} `
          -p:AndroidSigningStorePass=${{ secrets.keystore-password }} `
          --no-restore

      - name: Upload APK to Google Play
        uses: r0adkll/upload-google-play@v1
        id: play_upload
        with:
          serviceAccountJsonPlainText: ${{ secrets.playstore-service-account }}
          packageName: ${{ inputs.package-name }}
          releaseFiles: ${{ inputs.project-folder }}/bin/${{ inputs.build-config }}/${{ inputs.dotnet-version-target }}-android/${{ inputs.package-name }}-Signed.aab
          inAppUpdatePriority: 1
          track: internal My .csproj correctly targets <AndroidTargetSdkVersion>35</AndroidTargetSdkVersion> .
I've tried setting <uses-sdk android:minSdkVersion=""29"" android:targetSdkVersion=""35"" /> in my AndroidManifest.xml, but somewhere during the build it is taking the version number and setting it as the target sdk. My guess is that there's a new bug in MAUI, MSBuild, or Github Actions. I haven't found anyone running into a similar issue yet though, so I wonder if this is from a new bug in the build. I can't see where I'm going wrong.",2025-09-03,github-actions
79754649,R package building on GitHub (r-lib actions): stringop-overflow warning in /usr/include/c++/13/bits/stl_algobase.h,"While compiling my R package by GitHub r-lib actions (on Ubuntu), the ""R CMD check"" action results in the following warning: Found the following significant warnings:
  /usr/include/c++/13/bits/stl_algobase.h:931:18: warning:
  ‘void* __builtin_memset(void*, int, long unsigned int)’ writing 8 or more bytes into a region of size 0 overflows the destination [-Wstringop-overflow=] I cannot reproduce it on my local machine, it does not happen on Windows or macOS runners, only in Ubuntu runners. Please, does anybody have an idea of how to fix it? Thanks. Context: * using R version 4.5.1 (2025-06-13)
* using platform: x86_64-pc-linux-gnu
* R was compiled by
    gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0
    GNU Fortran (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0 See also: https://github.com/beerda/nuggets/actions/runs/17433721831/job/49497975594",2025-09-03,github-actions
